ParamObjectName	Id.KKS	Id.OperId	Id.Description.LT	Id.Description.EN	Id.Description.LV	Id.Description.RU	EngUnits	DI Obj	ScanGroup	PV Reference	AlarmByteAddress (Status)	CfgByteAddress (CMD)	RangeMinAddress	RangeMaxAddress	HystAddress	LoLoLimitAddress	LoLimitAddress	HiLimitAddress	HiHiLimitAddress	Dampher	NUmericFormat	ScaleCoef	iScONFIGURABLE	SP Address	OptimalRangeMin	OptimaRangeMax	PV.IO																												
HHG32_CP002	HHG32_CP002		Dujų slėgis į degiklį Nr. 2					PLC	sg.PLC	PLC.sg.PLC.DB33,Real2160	PLC.sg.PLC.DB33,Word2168	PLC.sg.PLC.DB33,Word2170	PLC.sg.PLC.DB33,Real2172	PLC.sg.PLC.DB33,Real2176	PLC.sg.PLC.DB33,Real2184	PLC.sg.PLC.DB33,Real2188	PLC.sg.PLC.DB33,Real2192	PLC.sg.PLC.DB33,Real2194	PLC.sg.PLC.DB33,Real2198	PLC.sg.PLC.DB33,Real2180	F1	1	1		0	100	PLC.sg.PLC.DB33,Real2164																												
HHG33_CP001	HHG33_CP001		Dujų slėgis tarp degiklio Nr.3 darbinės ir kontrolinės dujų sklendės					PLC	sg.PLC	PLC.sg.PLC.DB33,Real2240	PLC.sg.PLC.DB33,Word2248	PLC.sg.PLC.DB33,Word2250	PLC.sg.PLC.DB33,Real2252	PLC.sg.PLC.DB33,Real2256	PLC.sg.PLC.DB33,Real2264	PLC.sg.PLC.DB33,Real2268	PLC.sg.PLC.DB33,Real2272	PLC.sg.PLC.DB33,Real2274	PLC.sg.PLC.DB33,Real2278	PLC.sg.PLC.DB33,Real2260	F1	1	1		0	100	PLC.sg.PLC.DB33,Real2244																												
HHG33_CP002	HHG33_CP002		Dujų slėgis į degiklį Nr. 3					PLC	sg.PLC	PLC.sg.PLC.DB33,Real2320	PLC.sg.PLC.DB33,Word2328	PLC.sg.PLC.DB33,Word2330	PLC.sg.PLC.DB33,Real2332	PLC.sg.PLC.DB33,Real2336	PLC.sg.PLC.DB33,Real2344	PLC.sg.PLC.DB33,Real2348	PLC.sg.PLC.DB33,Real2352	PLC.sg.PLC.DB33,Real2354	PLC.sg.PLC.DB33,Real2358	PLC.sg.PLC.DB33,Real2340	F1	1	1		0	100	PLC.sg.PLC.DB33,Real2324																												
HHG34_CP001	HHG34_CP001		Dujų slėgis tarp degiklio Nr.4 darbinės ir kontrolinės dujų sklendės					PLC	sg.PLC	PLC.sg.PLC.DB33,Real2400	PLC.sg.PLC.DB33,Word2408	PLC.sg.PLC.DB33,Word2410	PLC.sg.PLC.DB33,Real2412	PLC.sg.PLC.DB33,Real2416	PLC.sg.PLC.DB33,Real2424	PLC.sg.PLC.DB33,Real2428	PLC.sg.PLC.DB33,Real2432	PLC.sg.PLC.DB33,Real2434	PLC.sg.PLC.DB33,Real2438	PLC.sg.PLC.DB33,Real2420	F1	1	1		0	100	PLC.sg.PLC.DB33,Real2404																												
HHG34_CP002	HHG34_CP002		Dujų slėgis į degiklį Nr. 4					PLC	sg.PLC	PLC.sg.PLC.DB33,Real2480	PLC.sg.PLC.DB33,Word2488	PLC.sg.PLC.DB33,Word2490	PLC.sg.PLC.DB33,Real2492	PLC.sg.PLC.DB33,Real2496	PLC.sg.PLC.DB33,Real2504	PLC.sg.PLC.DB33,Real2508	PLC.sg.PLC.DB33,Real2512	PLC.sg.PLC.DB33,Real2514	PLC.sg.PLC.DB33,Real2518	PLC.sg.PLC.DB33,Real2500	F1	1	1		0	100	PLC.sg.PLC.DB33,Real2484																												
HHG35_CP001	HHG35_CP001		Dujų slėgis tarp degiklio Nr.5 darbinės ir kontrolinės dujų sklendės					PLC	sg.PLC	PLC.sg.PLC.DB33,Real2560	PLC.sg.PLC.DB33,Word2568	PLC.sg.PLC.DB33,Word2570	PLC.sg.PLC.DB33,Real2572	PLC.sg.PLC.DB33,Real2576	PLC.sg.PLC.DB33,Real2584	PLC.sg.PLC.DB33,Real2588	PLC.sg.PLC.DB33,Real2592	PLC.sg.PLC.DB33,Real2594	PLC.sg.PLC.DB33,Real2598	PLC.sg.PLC.DB33,Real2580	F1	1	1		0	100	PLC.sg.PLC.DB33,Real2564																												
HHG35_CP002	HHG35_CP002		Dujų slėgis į degiklį Nr. 5					PLC	sg.PLC	PLC.sg.PLC.DB33,Real2640	PLC.sg.PLC.DB33,Word2648	PLC.sg.PLC.DB33,Word2650	PLC.sg.PLC.DB33,Real2652	PLC.sg.PLC.DB33,Real2656	PLC.sg.PLC.DB33,Real2664	PLC.sg.PLC.DB33,Real2668	PLC.sg.PLC.DB33,Real2672	PLC.sg.PLC.DB33,Real2674	PLC.sg.PLC.DB33,Real2678	PLC.sg.PLC.DB33,Real2660	F1	1	1		0	100	PLC.sg.PLC.DB33,Real2644																												
HHG36_CP001	HHG36_CP001		Dujų slėgis tarp degiklio Nr.6 darbinės ir kontrolinės dujų sklendės					PLC	sg.PLC	PLC.sg.PLC.DB33,Real2720	PLC.sg.PLC.DB33,Word2728	PLC.sg.PLC.DB33,Word2730	PLC.sg.PLC.DB33,Real2732	PLC.sg.PLC.DB33,Real2736	PLC.sg.PLC.DB33,Real2744	PLC.sg.PLC.DB33,Real2748	PLC.sg.PLC.DB33,Real2752	PLC.sg.PLC.DB33,Real2754	PLC.sg.PLC.DB33,Real2758	PLC.sg.PLC.DB33,Real2740	F1	1	1		0	100	PLC.sg.PLC.DB33,Real2724																												
HHG36_CP002	HHG36_CP002		Dujų slėgis į degiklį Nr. 6					PLC	sg.PLC	PLC.sg.PLC.DB33,Real2800	PLC.sg.PLC.DB33,Word2808	PLC.sg.PLC.DB33,Word2810	PLC.sg.PLC.DB33,Real2812	PLC.sg.PLC.DB33,Real2816	PLC.sg.PLC.DB33,Real2824	PLC.sg.PLC.DB33,Real2828	PLC.sg.PLC.DB33,Real2832	PLC.sg.PLC.DB33,Real2834	PLC.sg.PLC.DB33,Real2838	PLC.sg.PLC.DB33,Real2820	F1	1	1		0	100	PLC.sg.PLC.DB33,Real2804																												
HHL10_CP001	HHL10_CP001		Oro slėgis prieš 1 degiklį					PLC	sg.PLC	PLC.sg.PLC.DB33,Real2880	PLC.sg.PLC.DB33,Word2888	PLC.sg.PLC.DB33,Word2890	PLC.sg.PLC.DB33,Real2892	PLC.sg.PLC.DB33,Real2896	PLC.sg.PLC.DB33,Real2904	PLC.sg.PLC.DB33,Real2908	PLC.sg.PLC.DB33,Real2912	PLC.sg.PLC.DB33,Real2914	PLC.sg.PLC.DB33,Real2918	PLC.sg.PLC.DB33,Real2900	F1	1	1		0	100	PLC.sg.PLC.DB33,Real2884																												
HHL20_CP001	HHL20_CP001		Oro slėgis prieš 2 degiklį					PLC	sg.PLC	PLC.sg.PLC.DB33,Real2960	PLC.sg.PLC.DB33,Word2968	PLC.sg.PLC.DB33,Word2970	PLC.sg.PLC.DB33,Real2972	PLC.sg.PLC.DB33,Real2976	PLC.sg.PLC.DB33,Real2984	PLC.sg.PLC.DB33,Real2988	PLC.sg.PLC.DB33,Real2992	PLC.sg.PLC.DB33,Real2994	PLC.sg.PLC.DB33,Real2998	PLC.sg.PLC.DB33,Real2980	F1	1	1		0	100	PLC.sg.PLC.DB33,Real2964																												
HHL30_CP001	HHL30_CP001		Oro slėgis prieš 3 degiklį					PLC	sg.PLC	PLC.sg.PLC.DB33,Real3040	PLC.sg.PLC.DB33,Word3048	PLC.sg.PLC.DB33,Word3050	PLC.sg.PLC.DB33,Real3052	PLC.sg.PLC.DB33,Real3056	PLC.sg.PLC.DB33,Real3064	PLC.sg.PLC.DB33,Real3068	PLC.sg.PLC.DB33,Real3072	PLC.sg.PLC.DB33,Real3074	PLC.sg.PLC.DB33,Real3078	PLC.sg.PLC.DB33,Real3060	F1	1	1		0	100	PLC.sg.PLC.DB33,Real3044																												
HHL40_CP001	HHL40_CP001		Oro slėgis prieš 4 degiklį					PLC	sg.PLC	PLC.sg.PLC.DB33,Real3120	PLC.sg.PLC.DB33,Word3128	PLC.sg.PLC.DB33,Word3130	PLC.sg.PLC.DB33,Real3132	PLC.sg.PLC.DB33,Real3136	PLC.sg.PLC.DB33,Real3144	PLC.sg.PLC.DB33,Real3148	PLC.sg.PLC.DB33,Real3152	PLC.sg.PLC.DB33,Real3154	PLC.sg.PLC.DB33,Real3158	PLC.sg.PLC.DB33,Real3140	F1	1	1		0	100	PLC.sg.PLC.DB33,Real3124																												
